dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_gShape,kmer,k=5,,,,,,,,,,,5,,et,1024,0.7008716564618244,0.008696856360201004,0.7489795918367348,0.030595233368499893,0.7055263157894738,0.010815117151597132,0.7237748064186998,0.014392497326130104,0.41074819827749554,0.022420703463713037,0.7760536823425023,0.006399445462295287,0.7672889313414337,0.004901872250336581,10,8.1
D_gShape,kmer,k=5,,,,,,,,,,,5,,rf,1024,0.6996846733817164,0.011117515414958435,0.7673469387755103,0.012329638748565899,0.71,0.010041465278073126,0.7318752031263348,0.008794634630566272,0.4198049580362844,0.020119294556524264,0.7814233030168589,0.005831347542621526,0.7714357243721419,0.00692909136273985,10,12.7
D_gShape,kmer,k=6,,,,,,,,,,,6,,et,4096,0.6918278279608097,0.01672887154375211,0.7663265306122449,0.02829678494665725,0.7026315789473685,0.008238145180262373,0.7265384342856657,0.007030921999125823,0.40600561063293156,0.015475333615568614,0.7622795585625555,0.003772526308969198,0.7598518791668673,0.006725626077451986,10,18.8
D_gShape,kmer,k=6,,,,,,,,,,,6,,rf,4096,0.696638119268708,0.01588049834397898,0.7709183673469387,0.014148392473328605,0.7084210526315788,0.013964735959391157,0.731760649719,0.011352744946871243,0.41694621652786923,0.02783170513145011,0.761885814108252,0.008754809112366627,0.7579733761121782,0.008223329079080159,10,16.4
D_gShape,kmer,k=7,,,,,,,,,,,7,,et,16384,0.6508732929841426,0.013898839536153462,0.8153061224489795,0.02088723417393749,0.6786842105263158,0.011912073997638188,0.7235616680363335,0.008218142925600691,0.3647069434791554,0.022759604171549402,0.7549509205856255,0.005241077318893891,0.7579055745184118,0.0050908907128926996,10,109.9
D_gShape,kmer,k=7,,,,,,,,,,,7,,rf,16384,0.6401424198080256,0.013290517008041798,0.8224489795918368,0.021257823118367002,0.6697368421052631,0.015400920935157422,0.7197777926651165,0.012775002419215054,0.3486465020104986,0.032033315004740014,0.7456119676131323,0.007368893838402733,0.7455364282433463,0.008948744155106108,10,47.0
D_gShape,kmer,k=8,,,,,,,,,,,8,,et,65536,0.5572304626670349,0.008829381641080008,0.9005102040816325,0.009747435293134066,0.5794736842105264,0.01366395261657598,0.6884164431974412,0.008395535694072804,0.18479328182800783,0.03390451883841855,0.7322232697426798,0.009353889956054948,0.7534377699702713,0.009999656123561776,10,555.5
D_gShape,kmer,k=8,,,,,,,,,,,8,,rf,65536,0.5497593652075372,0.005812489044316621,0.9357142857142857,0.014285714285714311,0.571578947368421,0.010313641022244992,0.6925786468466486,0.007875801117643794,0.1827385067383998,0.0331025687155169,0.7275482475598934,0.010116318430271158,0.7449469752215586,0.011014418359450976,10,201.5
