dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_LncDNN,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.6777777777777778,0.0,0.8133333333333334,0.0,0.6614173228346457,0.0,0.7393939393939394,0.0,0.2766564106229414,0.0,0.7423076923076923,0.0,0.818688809677397,0.0,1,0.5
D_LncDNN,voxel,baseline_seg3_pts512,3,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6785714285714286,0.0,0.76,0.0,0.6456692913385826,0.0,0.7169811320754716,0.0,0.2501839343807543,0.0,0.722051282051282,0.0,0.8128494875036042,0.0,1,0.7
D_LncDNN,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.7529411764705882,0.0,0.8533333333333334,0.0,0.7480314960629921,0.0,0.8,0.0,0.46980269582952655,0.0,0.8047435897435896,0.0,0.8626446475533451,0.0,1,0.5
D_LncDNN,voxel,seg1_pts256,1,256,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.7397260273972602,0.0,0.72,0.0,0.6850393700787402,0.0,0.7297297297297297,0.0,0.35272120266508944,0.0,0.7865384615384615,0.0,0.8585713771738961,0.0,1,0.7
D_LncDNN,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.6707317073170732,0.0,0.7333333333333333,0.0,0.6299212598425197,0.0,0.7006369426751592,0.0,0.22011061583844785,0.0,0.7371794871794872,0.0,0.8192233120640839,0.0,1,0.5
D_LncDNN,voxel,seg1_pts384,1,384,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6931818181818182,0.0,0.8133333333333334,0.0,0.6771653543307087,0.0,0.7484662576687117,0.0,0.3135143867434425,0.0,0.758846153846154,0.0,0.8330166701970922,0.0,1,0.7
D_LncDNN,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.6888888888888889,0.0,0.8266666666666667,0.0,0.6771653543307087,0.0,0.7515151515151515,0.0,0.31189749803428896,0.0,0.7525641025641026,0.0,0.8265038940209023,0.0,1,0.5
D_LncDNN,voxel,seg1_pts512,1,512,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6781609195402298,0.0,0.7866666666666666,0.0,0.6535433070866141,0.0,0.7283950617283951,0.0,0.2627564779337307,0.0,0.7388461538461538,0.0,0.8250349097809899,0.0,1,0.7
D_LncDNN,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.6699029126213593,0.0,0.92,0.0,0.6850393700787402,0.0,0.7752808988764045,0.0,0.33430341787869466,0.0,0.7485897435897436,0.0,0.8299352119750356,0.0,1,0.4
D_LncDNN,voxel,seg1_pts768,1,768,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6633663366336634,0.0,0.8933333333333333,0.0,0.6692913385826772,0.0,0.7613636363636364,0.0,0.29185504965308845,0.0,0.7479487179487181,0.0,0.8274484528707621,0.0,1,0.7
D_LncDNN,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,et,223,0.6666666666666666,0.0,0.9333333333333333,0.0,0.6850393700787402,0.0,0.7777777777777778,0.0,0.3381642934360299,0.0,0.7398717948717949,0.0,0.8281045279945253,0.0,1,0.4
D_LncDNN,voxel,seg1_pts1024,1,1024,"0.3,0.5,0.7,0.9",20,0.45,True,arc+idx,True,count,202,,,rf,223,0.6504854368932039,0.0,0.8933333333333333,0.0,0.6535433070866141,0.0,0.7528089887640449,0.0,0.2524989206328484,0.0,0.6870512820512821,0.0,0.7870038264891764,0.0,1,0.7
