dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_Yi,kmer,k=5,,,,,,,,,,,5,,et,1024,0.5818181818181818,0.0,0.35555555555555557,0.0,0.6142857142857143,0.0,0.4413793103448276,0.0,0.18446509284681312,0.0,0.6581365740740741,0.0,0.5637560513197105,0.0,1,0.8
D_Yi,kmer,k=5,,,,,,,,,,,5,,rf,1024,0.5758928571428571,0.0,0.35833333333333334,0.0,0.611904761904762,0.0,0.4417808219178082,0.0,0.1795175827043134,0.0,0.6572627314814815,0.0,0.5608801614565347,0.0,1,1.4
D_Yi,kmer,k=6,,,,,,,,,,,6,,et,4096,0.5701357466063348,0.0,0.35,0.0,0.6083333333333333,0.0,0.43373493975903615,0.0,0.17092753534994468,0.0,0.6590653935185184,0.0,0.5678975052659536,0.0,1,1.9
D_Yi,kmer,k=6,,,,,,,,,,,6,,rf,4096,0.582089552238806,0.0,0.325,0.0,0.6107142857142858,0.0,0.41711229946524064,0.0,0.17398614690455713,0.0,0.6566087962962964,0.0,0.5639257340823248,0.0,1,1.6
D_Yi,kmer,k=7,,,,,,,,,,,7,,et,16384,0.5700934579439252,0.0,0.3388888888888889,0.0,0.6071428571428571,0.0,0.4250871080139373,0.0,0.1672057409186782,0.0,0.6608883101851852,0.0,0.5649006464911179,0.0,1,9.6
D_Yi,kmer,k=7,,,,,,,,,,,7,,rf,16384,0.5789473684210527,0.0,0.3055555555555556,0.0,0.6071428571428571,0.0,0.4,0.0,0.1642880193633814,0.0,0.661099537037037,0.0,0.5650054508322296,0.0,1,4.2
D_Yi,kmer,k=8,,,,,,,,,,,8,,et,65536,0.5952380952380952,0.0,0.3472222222222222,0.0,0.6190476190476191,0.0,0.43859649122807015,0.0,0.19444444444444445,0.0,0.6683333333333333,0.0,0.5705056688821257,0.0,1,47.1
D_Yi,kmer,k=8,,,,,,,,,,,8,,rf,65536,0.5927835051546392,0.0,0.3194444444444444,0.0,0.6142857142857143,0.0,0.4151624548736462,0.0,0.181843221247941,0.0,0.6597366898148148,0.0,0.5692261065621538,0.0,1,16.7
