dataset,stage,setting,S,pts,alphas,V,sigma,dual_resample,resample_modes,log_density,deposit,pca_n,k,strategy,head,feat_dim,Precision,Precision_std,Recall,Recall_std,ACC,ACC_std,F1,F1_std,MCC,MCC_std,AUC,AUC_std,AUPRC,AUPRC_std,n_eval,elapsed_s
D_LncDNN,kmer,k=5,,,,,,,,,,,5,,et,1024,0.6836734693877551,0.0,0.8933333333333333,0.0,0.6929133858267716,0.0,0.7745664739884393,0.0,0.3481281126875983,0.0,0.737948717948718,0.0,0.8169544038329487,0.0,1,0.5
D_LncDNN,kmer,k=5,,,,,,,,,,,5,,rf,1024,0.67,0.0,0.8933333333333333,0.0,0.6771653543307087,0.0,0.7657142857142857,0.0,0.310940276661809,0.0,0.7188461538461539,0.0,0.805085250634368,0.0,1,0.8
D_LncDNN,kmer,k=6,,,,,,,,,,,6,,et,4096,0.6862745098039216,0.0,0.9333333333333333,0.0,0.7086614173228346,0.0,0.7909604519774012,0.0,0.3932052351677151,0.0,0.773076923076923,0.0,0.8367304985636707,0.0,1,0.7
D_LncDNN,kmer,k=6,,,,,,,,,,,6,,rf,4096,0.6862745098039216,0.0,0.9333333333333333,0.0,0.7086614173228346,0.0,0.7909604519774012,0.0,0.3932052351677151,0.0,0.7398717948717949,0.0,0.8154291568386979,0.0,1,0.9
D_LncDNN,kmer,k=7,,,,,,,,,,,7,,et,16384,0.6857142857142857,0.0,0.96,0.0,0.7165354330708661,0.0,0.8,0.0,0.422788658492928,0.0,0.7680769230769231,0.0,0.8406202111506322,0.0,1,1.3
D_LncDNN,kmer,k=7,,,,,,,,,,,7,,rf,16384,0.7,0.0,0.9333333333333333,0.0,0.7244094488188977,0.0,0.8,0.0,0.42835181819614915,0.0,0.7838461538461539,0.0,0.8412978074011864,0.0,1,1.1
D_LncDNN,kmer,k=8,,,,,,,,,,,8,,et,65536,0.7368421052631579,0.0,0.9333333333333333,0.0,0.7637795275590551,0.0,0.8235294117647058,0.0,0.5125964739190312,0.0,0.8244871794871794,0.0,0.8771609993155205,0.0,1,5.8
D_LncDNN,kmer,k=8,,,,,,,,,,,8,,rf,65536,0.68,0.0,0.9066666666666666,0.0,0.6929133858267716,0.0,0.7771428571428571,0.0,0.3500774571732557,0.0,0.7506410256410256,0.0,0.8334177554738348,0.0,1,2.2
